,x_coordinate,y_coordinate,x_scaled,y_scaled
0,17,4,0.509349,0.090010
1,20,6,0.599234,0.135015
2,35,0,1.048660,0.000000
3,14,0,0.419464,0.000000
4,37,4,1.108583,0.090010
5,33,3,0.988736,0.067507
6,14,1,0.419464,0.022502
7,30,6,0.898851,0.135015
8,35,5,1.048660,0.112512
9,17,4,0.509349,0.090010
10,11,6,0.329579,0.135015
11,21,10,0.629196,0.225025
12,13,8,0.389502,0.180020
13,10,10,0.299617,0.225025
14,81,97,2.426898,2.182739
15,84,94,2.516784,2.115231
16,87,99,2.606669,2.227744
17,83,95,2.486822,2.137734
18,90,95,2.696554,2.137734
19,97,97,2.906286,2.182739
20,94,99,2.816401,2.227744
21,88,99,2.636630,2.227744
22,89,94,2.666592,2.115231
23,93,99,2.786439,2.227744
24,92,90,2.756477,2.025222
25,82,98,2.456860,2.205241
26,81,100,2.426898,2.250246
27,92,93,2.756477,2.092729
28,91,98,2.726516,2.205241
29,22,15,0.659158,0.337537
30,23,10,0.689119,0.225025
31,25,0,0.749043,0.000000
32,25,10,0.749043,0.225025
33,27,7,0.808966,0.157517
34,17,17,0.509349,0.382542
35,17,15,0.509349,0.337537
