,zipcode,zcta5,bcode,puma,pumaname,postalcity
0,10001,10001,36061,3807.0,Clinton & Midtown Business District,New York
1,10118,10001,36061,3807.0,Clinton & Midtown Business District,New York
2,10120,10001,36061,3807.0,Clinton & Midtown Business District,New York
3,10122,10001,36061,3807.0,Clinton & Midtown Business District,New York
4,10123,10001,36061,3807.0,Clinton & Midtown Business District,New York
5,10125,10001,36061,3807.0,Clinton & Midtown Business District,New York
6,10130,10001,36061,3807.0,Clinton & Midtown Business District,New York
7,10002,10002,36061,3809.0,& Lower East Side,New York
8,10003,10003,36061,3809.0,& Lower East Side,New York
9,10114,10003,36061,3809.0,& Lower East Side,New York
10,10276,10003,36061,3809.0,& Lower East Side,New York
11,10004,10004,36061,3810.0,Park City Greenwich Village & Soho,New York
12,10041,10004,36061,3810.0,Park City Greenwich Village & Soho,New York
13,10045,10004,36061,3810.0,Park City Greenwich Village & Soho,New York
14,10274,10004,36061,3810.0,Park City Greenwich Village & Soho,New York
15,10275,10004,36061,3810.0,Park City Greenwich Village & Soho,New York
16,10005,10005,36061,3810.0,Park City Greenwich Village & Soho,New York
17,10043,10005,36061,3810.0,Park City Greenwich Village & Soho,New York
18,10081,10005,36061,3810.0,Park City Greenwich Village & Soho,New York
19,10203,10005,36061,3810.0,Park City Greenwich Village & Soho,New York
20,10257,10005,36061,3810.0,Park City Greenwich Village & Soho,New York
21,10260,10005,36061,3810.0,Park City Greenwich Village & Soho,New York
22,10265,10005,36061,3810.0,Park City Greenwich Village & Soho,New York
23,10268,10005,36061,3810.0,Park City Greenwich Village & Soho,New York
24,10269,10005,36061,3810.0,Park City Greenwich Village & Soho,New York
25,10270,10005,36061,3810.0,Park City Greenwich Village & Soho,New York
26,10286,10005,36061,3810.0,Park City Greenwich Village & Soho,New York
27,10006,10006,36061,3810.0,Park City Greenwich Village & Soho,New York
28,10256,10006,36061,3810.0,Park City Greenwich Village & Soho,New York
29,10007,10007,36061,3810.0,Park City Greenwich Village & Soho,New York
30,10008,10007,36061,3810.0,Park City Greenwich Village & Soho,New York
31,10242,10007,36061,3810.0,Park City Greenwich Village & Soho,New York
32,10249,10007,36061,3810.0,Park City Greenwich Village & Soho,New York
33,10009,10009,36061,3809.0,& Lower East Side,New York
34,10010,10010,36061,3808.0,Hill Gramercy & Stuyvesant Town,New York
35,10159,10010,36061,3808.0,Hill Gramercy & Stuyvesant Town,New York
36,10160,10010,36061,3808.0,Hill Gramercy & Stuyvesant Town,New York
37,10011,10011,36061,3807.0,Clinton & Midtown Business District,New York
38,10113,10011,36061,3807.0,Clinton & Midtown Business District,New York
39,10161,10011,36061,3807.0,Clinton & Midtown Business District,New York
40,10012,10012,36061,3810.0,Park City Greenwich Village & Soho,New York
41,10013,10013,36061,3810.0,Park City Greenwich Village & Soho,New York
42,10213,10013,36061,3810.0,Park City Greenwich Village & Soho,New York
43,10014,10014,36061,3810.0,Park City Greenwich Village & Soho,New York
44,10016,10016,36061,3808.0,Hill Gramercy & Stuyvesant Town,New York
45,10138,10016,36061,3808.0,Hill Gramercy & Stuyvesant Town,New York
46,10156,10016,36061,3808.0,Hill Gramercy & Stuyvesant Town,New York
47,10157,10016,36061,3808.0,Hill Gramercy & Stuyvesant Town,New York
48,10158,10016,36061,3808.0,Hill Gramercy & Stuyvesant Town,New York
49,10017,10017,36061,3808.0,Hill Gramercy & Stuyvesant Town,New York
50,10087,10017,36061,3808.0,Hill Gramercy & Stuyvesant Town,New York
51,10163,10017,36061,3808.0,Hill Gramercy & Stuyvesant Town,New York
52,10164,10017,36061,3808.0,Hill Gramercy & Stuyvesant Town,New York
53,10166,10017,36061,3808.0,Hill Gramercy & Stuyvesant Town,New York
54,10175,10017,36061,3808.0,Hill Gramercy & Stuyvesant Town,New York
55,10178,10017,36061,3808.0,Hill Gramercy & Stuyvesant Town,New York
56,10179,10017,36061,3808.0,Hill Gramercy & Stuyvesant Town,New York
57,10259,10017,36061,3808.0,Hill Gramercy & Stuyvesant Town,New York
58,10261,10017,36061,3808.0,Hill Gramercy & Stuyvesant Town,New York
59,10018,10018,36061,3807.0,Clinton & Midtown Business District,New York
60,10129,10018,36061,3807.0,Clinton & Midtown Business District,New York
61,10019,10019,36061,3807.0,Clinton & Midtown Business District,New York
62,10101,10019,36061,3807.0,Clinton & Midtown Business District,New York
63,10102,10019,36061,3807.0,Clinton & Midtown Business District,New York
64,10104,10019,36061,3807.0,Clinton & Midtown Business District,New York
65,10105,10019,36061,3807.0,Clinton & Midtown Business District,New York
66,10106,10019,36061,3807.0,Clinton & Midtown Business District,New York
67,10107,10019,36061,3807.0,Clinton & Midtown Business District,New York
68,10020,10020,36061,3807.0,Clinton & Midtown Business District,New York
69,10021,10021,36061,3805.0,East Side,New York
70,10131,10021,36061,3805.0,East Side,New York
71,10022,10022,36061,3808.0,Hill Gramercy & Stuyvesant Town,New York
72,10055,10022,36061,3808.0,Hill Gramercy & Stuyvesant Town,New York
73,10126,10022,36061,3808.0,Hill Gramercy & Stuyvesant Town,New York
74,10150,10022,36061,3808.0,Hill Gramercy & Stuyvesant Town,New York
75,10151,10022,36061,3808.0,Hill Gramercy & Stuyvesant Town,New York
76,10155,10022,36061,3808.0,Hill Gramercy & Stuyvesant Town,New York
77,10023,10023,36061,3806.0,West Side & West Side,New York
78,10133,10023,36061,3806.0,West Side & West Side,New York
79,10024,10024,36061,3806.0,West Side & West Side,New York
80,10132,10024,36061,3806.0,West Side & West Side,New York
81,10025,10025,36061,3806.0,West Side & West Side,New York
82,10026,10026,36061,3803.0,Harlem,New York
83,10027,10027,36061,3802.0,Heights Manhattanville & West Harlem,New York
84,10116,10027,36061,3802.0,Heights Manhattanville & West Harlem,New York
85,10028,10028,36061,3805.0,East Side,New York
86,10029,10029,36061,3804.0,Harlem,New York
87,10030,10030,36061,3803.0,Harlem,New York
88,10031,10031,36061,3802.0,Heights Manhattanville & West Harlem,New York
89,10032,10032,36061,3801.0,Heights Inwood & Marble Hill,New York
90,10033,10033,36061,3801.0,Heights Inwood & Marble Hill,New York
91,10034,10034,36061,3801.0,Heights Inwood & Marble Hill,New York
92,10035,10035,36061,3804.0,Harlem,New York
93,10036,10036,36061,3807.0,Clinton & Midtown Business District,New York
94,10108,10036,36061,3807.0,Clinton & Midtown Business District,New York
95,10109,10036,36061,3807.0,Clinton & Midtown Business District,New York
96,10176,10036,36061,3807.0,Clinton & Midtown Business District,New York
97,10185,10036,36061,3807.0,Clinton & Midtown Business District,New York
98,10037,10037,36061,3803.0,Harlem,New York
99,10038,10038,36061,3810.0,Park City Greenwich Village & Soho,New York
100,10272,10038,36061,3810.0,Park City Greenwich Village & Soho,New York
101,10273,10038,36061,3810.0,Park City Greenwich Village & Soho,New York
102,10292,10038,36061,3810.0,Park City Greenwich Village & Soho,New York
103,10039,10039,36061,3803.0,Harlem,New York
104,10040,10040,36061,3801.0,Heights Inwood & Marble Hill,New York
105,10044,10044,36061,3805.0,East Side,New York
106,10065,10065,36061,3805.0,East Side,New York
107,10069,10069,36061,3806.0,West Side & West Side,New York
108,10075,10075,36061,3805.0,East Side,New York
109,10103,10103,36061,3807.0,Clinton & Midtown Business District,New York
110,10110,10110,36061,3807.0,Clinton & Midtown Business District,New York
111,10111,10111,36061,3807.0,Clinton & Midtown Business District,New York
112,10112,10112,36061,3807.0,Clinton & Midtown Business District,New York
113,10115,10115,36061,3802.0,Heights Manhattanville & West Harlem,New York
114,10117,10119,36061,3807.0,Clinton & Midtown Business District,New York
