,puma,total_pop_estimate,total_pop_moe
0,3701,109810,2134
1,3702,144341,2521
2,3703,122417,2742
3,3704,129501,2620
4,3705,171849,2839
5,3706,129955,2716
6,3707,136982,2375
7,3708,141055,2387
8,3709,189556,2570
9,3710,161319,2495
10,4001,157433,2644
11,4002,135837,3022
12,4003,142689,2723
13,4004,135679,2054
14,4005,116344,1738
15,4006,127627,2477
16,4007,123596,2819
17,4008,155735,2685
18,4009,208920,2848
19,4010,138643,2664
20,4011,111325,2566
21,4012,151258,2626
22,4013,125011,2386
23,4014,164842,2906
24,4015,162030,2707
25,4016,150931,2425
26,4017,189076,2983
27,4018,109876,2131
28,3801,218698,3842
29,3802,129881,3428
30,3803,135967,3076
31,3804,122550,2929
32,3805,221922,4306
33,3806,193715,3692
34,3807,149309,3412
35,3808,146750,3346
36,3809,160709,3289
37,3810,155488,2937
38,4101,172468,2877
39,4102,180562,3569
40,4103,250162,3404
41,4104,119917,2279
42,4105,200852,3057
43,4106,162548,3197
44,4107,142289,3252
45,4108,114637,2357
46,4109,139088,2656
47,4110,174240,2965
48,4111,154987,2610
49,4112,239699,3558
50,4113,137073,2806
51,4114,121517,2680
52,3901,165632,2282
53,3902,135323,2195
54,3903,172369,2382
