,0,1,2,3,4
0,Illinois,M,0,89600,95012
1,Illinois,M,1,88445,91829
2,Illinois,M,2,88729,89547
3,Illinois,M,3,88868,90037
4,Illinois,M,4,91947,91111
5,Illinois,M,5,93894,89802
6,Illinois,M,6,93676,88931
7,Illinois,M,7,94818,90940
8,Illinois,M,8,95035,86943
9,Illinois,M,9,96436,86055
10,Illinois,M,10,97280,86565
11,Illinois,M,11,94029,86606
12,Illinois,M,12,92402,89596
13,Illinois,M,13,89926,91661
14,Illinois,M,14,90717,91256
15,Illinois,M,15,92178,92729
16,Illinois,M,16,90587,93083
17,Illinois,M,17,92782,94541
18,Illinois,M,18,90997,100253
19,Illinois,M,19,89629,96588
20,Illinois,M,20,91040,95460
21,Illinois,M,21,85176,91373
22,Illinois,M,22,84372,90723
23,Illinois,M,23,85529,91982
24,Illinois,M,24,84549,90237
25,Illinois,M,25,87630,95217
26,Illinois,M,26,84205,93351
27,Illinois,M,27,87481,92949
28,Illinois,M,28,91586,93929
29,Illinois,M,29,95226,89559
30,Illinois,M,30,98572,89598
31,Illinois,M,31,91469,90093
32,Illinois,M,32,89813,87703
33,Illinois,M,33,89694,90090
34,Illinois,M,34,91474,84679
35,Illinois,M,35,97796,86172
36,Illinois,M,36,97688,90250
37,Illinois,M,37,97664,92422
38,Illinois,M,38,98705,95862
39,Illinois,M,39,100103,88235
40,Illinois,M,40,103045,87299
41,Illinois,M,41,98235,87285
42,Illinois,M,42,97946,88474
43,Illinois,M,43,96490,94799
44,Illinois,M,44,92713,94893
45,Illinois,M,45,93817,94278
46,Illinois,M,46,87706,95633
47,Illinois,M,47,85685,96731
48,Illinois,M,48,83445,99113
49,Illinois,M,49,81182,94273
50,Illinois,M,50,81005,93425
51,Illinois,M,51,75942,92133
52,Illinois,M,52,75896,87504
53,Illinois,M,53,78933,88458
54,Illinois,M,54,58953,82456
55,Illinois,M,55,57885,79601
56,Illinois,M,56,58143,77447
57,Illinois,M,57,60590,74349
58,Illinois,M,58,54120,73646
59,Illinois,M,59,49046,68179
60,Illinois,M,60,47509,67186
61,Illinois,M,61,45588,70789
62,Illinois,M,62,44604,50790
63,Illinois,M,63,41700,49725
64,Illinois,M,64,40316,48773
65,Illinois,M,65,39696,51139
66,Illinois,M,66,35784,45248
67,Illinois,M,67,35251,40085
68,Illinois,M,68,34729,38613
69,Illinois,M,69,34914,36909
70,Illinois,M,70,35307,35929
71,Illinois,M,71,33112,32944
72,Illinois,M,72,32673,31610
73,Illinois,M,73,31381,30767
74,Illinois,M,74,30103,26962
75,Illinois,M,75,29050,26065
76,Illinois,M,76,27274,24866
77,Illinois,M,77,25325,24059
78,Illinois,M,78,23794,23908
79,Illinois,M,79,21932,21598
80,Illinois,M,80,19729,20725
81,Illinois,M,81,17222,19151
82,Illinois,M,82,15811,17433
83,Illinois,M,83,13553,16064
84,Illinois,M,84,12073,14569
85,Illinois,M,85,53719,72621
86,Illinois,F,0,85910,90286
87,Illinois,F,1,84396,88126
88,Illinois,F,2,84764,86291
89,Illinois,F,3,85598,85170
90,Illinois,F,4,87729,86959
91,Illinois,F,5,89085,85336
92,Illinois,F,6,89608,85210
93,Illinois,F,7,89876,87083
94,Illinois,F,8,90982,83463
95,Illinois,F,9,91913,82137
96,Illinois,F,10,93569,82662
97,Illinois,F,11,89694,83484
98,Illinois,F,12,87574,85594
99,Illinois,F,13,85843,86851
100,Illinois,F,14,87057,87519
101,Illinois,F,15,86835,87794
102,Illinois,F,16,85249,88919
103,Illinois,F,17,86930,89900
104,Illinois,F,18,84902,96446
105,Illinois,F,19,85953,92743
106,Illinois,F,20,87124,91653
107,Illinois,F,21,82416,88640
108,Illinois,F,22,81888,88671
109,Illinois,F,23,83219,88442
110,Illinois,F,24,82301,88009
111,Illinois,F,25,84817,92928
112,Illinois,F,26,82888,90322
113,Illinois,F,27,85594,89980
114,Illinois,F,28,89682,90458
115,Illinois,F,29,94496,86087
116,Illinois,F,30,96361,85098
117,Illinois,F,31,90025,86881
118,Illinois,F,32,89414,83797
119,Illinois,F,33,89087,85142
120,Illinois,F,34,91233,81825
121,Illinois,F,35,98151,84362
122,Illinois,F,36,98588,87900
123,Illinois,F,37,99155,91106
124,Illinois,F,38,100045,93812
125,Illinois,F,39,102074,87686
126,Illinois,F,40,104762,87678
127,Illinois,F,41,99919,86734
128,Illinois,F,42,100474,88419
129,Illinois,F,43,98601,95458
130,Illinois,F,44,95485,95101
131,Illinois,F,45,95859,96963
132,Illinois,F,46,90902,97582
133,Illinois,F,47,88623,98107
134,Illinois,F,48,85539,100824
135,Illinois,F,49,84865,96202
136,Illinois,F,50,83791,96290
137,Illinois,F,51,80154,94537
138,Illinois,F,52,79736,90986
139,Illinois,F,53,83261,90778
140,Illinois,F,54,62200,85252
141,Illinois,F,55,61540,83956
142,Illinois,F,56,62191,79770
143,Illinois,F,57,65588,78547
144,Illinois,F,58,58373,76929
145,Illinois,F,59,53406,73154
146,Illinois,F,60,52517,72032
147,Illinois,F,61,50588,76361
148,Illinois,F,62,49457,55862
149,Illinois,F,63,46140,54569
150,Illinois,F,64,46040,54698
151,Illinois,F,65,45501,58118
152,Illinois,F,66,41990,51610
153,Illinois,F,67,42327,46695
154,Illinois,F,68,42526,45791
155,Illinois,F,69,43328,43938
156,Illinois,F,70,44539,43143
157,Illinois,F,71,41731,39827
158,Illinois,F,72,42175,39581
159,Illinois,F,73,42123,38613
160,Illinois,F,74,40681,34897
161,Illinois,F,75,40986,34884
162,Illinois,F,76,39676,34261
163,Illinois,F,77,37514,34377
164,Illinois,F,78,36875,35020
165,Illinois,F,79,34777,31819
166,Illinois,F,80,33171,31257
167,Illinois,F,81,29900,30560
168,Illinois,F,82,28488,28584
169,Illinois,F,83,26257,28316
170,Illinois,F,84,23947,26452
171,Illinois,F,85,140079,166300
172,New Jersey,M,0,56983,58756
173,New Jersey,M,1,56686,57325
174,New Jersey,M,2,57011,55475
175,New Jersey,M,3,57912,56059
176,New Jersey,M,4,59359,58048
177,New Jersey,M,5,60392,58472
178,New Jersey,M,6,60739,57080
179,New Jersey,M,7,61579,56754
180,New Jersey,M,8,62089,56616
181,New Jersey,M,9,63384,56322
182,New Jersey,M,10,64593,56617
183,New Jersey,M,11,62494,57482
184,New Jersey,M,12,60570,58834
185,New Jersey,M,13,58189,59925
186,New Jersey,M,14,57931,60294
187,New Jersey,M,15,56752,61056
188,New Jersey,M,16,55887,61478
189,New Jersey,M,17,56712,62450
190,New Jersey,M,18,53265,62809
191,New Jersey,M,19,48344,55700
192,New Jersey,M,20,49564,55794
193,New Jersey,M,21,48141,54769
194,New Jersey,M,22,48353,55026
195,New Jersey,M,23,49130,54730
196,New Jersey,M,24,48723,53471
197,New Jersey,M,25,51092,56073
198,New Jersey,M,26,50357,55169
199,New Jersey,M,27,52179,51964
200,New Jersey,M,28,55938,52358
201,New Jersey,M,29,60638,51467
202,New Jersey,M,30,64220,52596
203,New Jersey,M,31,61484,54346
204,New Jersey,M,32,61927,54414
205,New Jersey,M,33,63487,56786
206,New Jersey,M,34,66737,56190
207,New Jersey,M,35,71274,56869
208,New Jersey,M,36,71449,60652
209,New Jersey,M,37,71026,64156
210,New Jersey,M,38,71811,67107
211,New Jersey,M,39,72043,63562
212,New Jersey,M,40,73665,63306
213,New Jersey,M,41,70514,64273
214,New Jersey,M,42,69835,67210
215,New Jersey,M,43,68650,71249
216,New Jersey,M,44,65564,71097
217,District of Columbia,M,0,3358,4017
218,District of Columbia,M,1,3084,3977
219,District of Columbia,M,2,3357,3625
220,District of Columbia,M,3,3245,3525
221,District of Columbia,M,4,3361,3456
222,District of Columbia,M,5,3360,3341
223,District of Columbia,M,6,3504,2831
224,District of Columbia,M,7,3600,3156
225,District of Columbia,M,8,3600,2997
226,District of Columbia,M,9,3542,2335
227,District of Columbia,M,10,3566,2878
228,District of Columbia,M,11,3119,2610
229,District of Columbia,M,12,2857,2902
230,District of Columbia,M,13,2848,2793
231,District of Columbia,M,14,2746,3034
232,District of Columbia,M,15,2851,3102
233,District of Columbia,M,16,2835,3300
234,District of Columbia,M,17,2887,3199
235,District of Columbia,M,18,4020,4457
236,District of Columbia,M,19,5264,5406
237,District of Columbia,M,20,5016,4710
238,District of Columbia,M,21,4709,4718
239,District of Columbia,M,22,4348,4622
240,District of Columbia,M,23,4399,4592
241,District of Columbia,M,24,4554,5569
242,District of Columbia,M,25,4721,4931
243,District of Columbia,M,26,4609,6682
244,District of Columbia,M,27,4879,5187
245,District of Columbia,M,28,4957,5772
246,District of Columbia,M,29,5377,5997
247,District of Columbia,M,30,5562,4864
248,District of Columbia,M,31,4801,4871
249,District of Columbia,M,32,4652,4615
250,District of Columbia,M,33,4328,4948
251,District of Columbia,M,34,4639,3829
252,District of Columbia,M,35,4915,4668
253,District of Columbia,M,36,4700,4112
254,District of Columbia,M,37,4497,4267
255,District of Columbia,M,38,4247,4857
256,District of Columbia,M,39,4367,4034
257,District of Columbia,M,40,4515,4176
258,District of Columbia,M,41,4081,3595
259,District of Columbia,M,42,4066,3753
260,District of Columbia,M,43,3926,4175
261,District of Columbia,M,44,3759,4293
262,District of Columbia,M,45,3920,3957
263,District of Columbia,M,46,3858,3935
264,District of Columbia,M,47,3750,3712
265,District of Columbia,M,48,3447,3976
266,District of Columbia,M,49,3699,3679
267,District of Columbia,M,50,3677,3697
268,District of Columbia,M,51,3508,3591
269,District of Columbia,M,52,3405,3350
270,District of Columbia,M,53,3449,3626
271,District of Columbia,M,54,2686,3338
272,District of Columbia,M,55,2762,3383
273,District of Columbia,M,56,2626,2869
274,District of Columbia,M,57,2558,3246
275,District of Columbia,M,58,2460,3144
276,District of Columbia,M,59,2283,3078
277,District of Columbia,M,60,2251,2818
278,District of Columbia,M,61,2154,2944
279,District of Columbia,M,62,2055,2187
280,District of Columbia,M,63,1791,2318
281,District of Columbia,M,64,1805,2257
282,District of Columbia,M,65,1807,2046
283,District of Columbia,M,66,1645,1967
284,District of Columbia,M,67,1647,1743
285,District of Columbia,M,68,1516,1699
286,District of Columbia,M,69,1511,1644
287,District of Columbia,M,70,1498,1611
288,District of Columbia,M,71,1399,1320
289,District of Columbia,M,72,1417,1304
290,District of Columbia,M,73,1356,1359
291,District of Columbia,M,74,1235,1162
292,District of Columbia,M,75,1275,1122
293,District of Columbia,M,76,1182,1022
294,District of Columbia,M,77,1110,982
295,District of Columbia,M,78,1060,933
296,District of Columbia,M,79,972,899
297,District of Columbia,M,80,939,827
298,District of Columbia,M,81,783,832
299,District of Columbia,M,82,639,704
300,District of Columbia,M,83,587,645
301,District of Columbia,M,84,481,624
302,District of Columbia,M,85,2441,3195
303,District of Columbia,F,0,3219,3869
304,District of Columbia,F,1,3120,3640
305,District of Columbia,F,2,3106,3484
306,District of Columbia,F,3,3204,3326
307,District of Columbia,F,4,3334,3433
308,District of Columbia,F,5,3387,2849
309,District of Columbia,F,6,3496,2797
310,District of Columbia,F,7,3493,3117
311,District of Columbia,F,8,3528,2580
312,District of Columbia,F,9,3561,2608
313,District of Columbia,F,10,3456,2529
314,District of Columbia,F,11,3054,2563
315,District of Columbia,F,12,2896,2748
316,District of Columbia,F,13,2859,2805
317,District of Columbia,F,14,2700,3017
318,District of Columbia,F,15,2738,3083
319,District of Columbia,F,16,2792,3175
320,District of Columbia,F,17,2943,3315
321,District of Columbia,F,18,4869,5377
322,District of Columbia,F,19,6429,6317
323,District of Columbia,F,20,5907,5687
324,District of Columbia,F,21,5520,5842
325,District of Columbia,F,22,5435,5384
326,District of Columbia,F,23,5594,5672
327,District of Columbia,F,24,5688,6365
328,District of Columbia,F,25,5669,6145
329,District of Columbia,F,26,5256,7164
330,District of Columbia,F,27,5328,4927
331,District of Columbia,F,28,5363,8131
332,District of Columbia,F,29,5686,4980
333,District of Columbia,F,30,5676,5204
334,District of Columbia,F,31,4867,5339
335,District of Columbia,F,32,4753,4893
336,District of Columbia,F,33,4479,4811
337,District of Columbia,F,34,4462,4458
338,District of Columbia,F,35,4722,4749
339,District of Columbia,F,36,4648,4063
340,District of Columbia,F,37,4370,4314
341,District of Columbia,F,38,4266,4936
342,District of Columbia,F,39,4356,3883
343,District of Columbia,F,40,4507,4195
344,District of Columbia,F,41,4193,3843
345,District of Columbia,F,42,4063,3789
346,District of Columbia,F,43,4240,4064
347,District of Columbia,F,44,4080,4201
348,District of Columbia,F,45,4349,4107
349,District of Columbia,F,46,4144,3852
350,District of Columbia,F,47,4072,4011
351,District of Columbia,F,48,4041,4202
352,District of Columbia,F,49,4086,3873
353,District of Columbia,F,50,4237,3872
354,District of Columbia,F,51,4079,4124
355,District of Columbia,F,52,4004,3719
356,District of Columbia,F,53,3987,4090
357,District of Columbia,F,54,3163,4045
358,District of Columbia,F,55,3224,3727
359,District of Columbia,F,56,3251,3809
360,District of Columbia,F,57,3136,3936
361,District of Columbia,F,58,2851,3870
362,District of Columbia,F,59,2700,3668
363,District of Columbia,F,60,2793,3647
364,District of Columbia,F,61,2360,3726
365,District of Columbia,F,62,2433,2752
366,District of Columbia,F,63,2206,2851
367,District of Columbia,F,64,2137,2827
368,District of Columbia,F,65,2195,2751
369,District of Columbia,F,66,2061,2500
370,District of Columbia,F,67,2100,2280
371,District of Columbia,F,68,1980,2391
372,District of Columbia,F,69,1977,1962
373,District of Columbia,F,70,2193,2007
374,District of Columbia,F,71,2118,1821
375,District of Columbia,F,72,1978,1734
376,District of Columbia,F,73,2071,1780
377,District of Columbia,F,74,2020,1649
378,District of Columbia,F,75,2049,1643
379,District of Columbia,F,76,1946,1477
380,District of Columbia,F,77,1949,1448
381,District of Columbia,F,78,1751,1579
382,District of Columbia,F,79,1681,1528
383,District of Columbia,F,80,1627,1365
384,District of Columbia,F,81,1380,1408
385,District of Columbia,F,82,1327,1327
386,District of Columbia,F,83,1195,1274
387,District of Columbia,F,84,1090,1135
388,New Jersey,M,45,65529,69934
389,New Jersey,M,46,61817,70961
390,New Jersey,M,47,59206,70886
391,New Jersey,M,48,56977,71595
392,New Jersey,M,49,55780,68022
393,New Jersey,M,50,56235,67401
394,New Jersey,M,51,53235,65757
395,New Jersey,M,52,54900,62616
396,New Jersey,M,53,58013,62490
397,New Jersey,M,54,43584,58355
398,New Jersey,M,55,42959,55466
399,New Jersey,M,56,42179,53088
400,New Jersey,M,57,45575,51211
401,New Jersey,M,58,38376,51039
402,New Jersey,M,59,34722,47299
403,New Jersey,M,60,34278,48085
404,New Jersey,M,61,32730,51579
405,New Jersey,M,62,31589,37378
406,New Jersey,M,63,29440,36620
407,New Jersey,M,64,28747,34605
408,New Jersey,M,65,27751,38210
409,New Jersey,M,66,26129,32006
410,New Jersey,M,67,26479,28279
411,New Jersey,M,68,26076,27635
412,New Jersey,M,69,25811,26304
413,New Jersey,M,70,26370,25459
414,New Jersey,M,71,24801,23197
415,New Jersey,M,72,24358,22627
416,New Jersey,M,73,23724,21789
417,New Jersey,M,74,22304,19294
418,New Jersey,M,75,21663,19267
419,New Jersey,M,76,20280,18629
420,New Jersey,M,77,18958,17897
421,New Jersey,M,78,17839,17860
422,New Jersey,M,79,17030,16034
423,New Jersey,M,80,15262,15261
424,New Jersey,M,81,12609,14193
425,New Jersey,M,82,12104,12912
426,New Jersey,M,83,10004,12085
427,New Jersey,M,84,8864,10759
428,New Jersey,M,85,39309,54920
429,New Jersey,F,0,54679,55841
430,New Jersey,F,1,53913,54437
431,New Jersey,F,2,54744,52450
432,New Jersey,F,3,55427,53490
433,New Jersey,F,4,56860,55540
434,New Jersey,F,5,57486,55247
435,New Jersey,F,6,57751,54660
436,New Jersey,F,7,58696,53617
437,New Jersey,F,8,59465,54257
438,New Jersey,F,9,60277,53421
439,New Jersey,F,10,61606,54270
440,New Jersey,F,11,59279,54850
441,New Jersey,F,12,57384,56348
442,New Jersey,F,13,55913,56884
443,New Jersey,F,14,54804,57080
