,"tire_sizes"
0,27.0
1,26.0
2,26.0
3,29.0
4,27.0
5,26.0
6,29.0
7,29.0
8,26.0
9,26.0
10,29.0
11,26.0
12,26.0
13,27.0
14,27.0
15,26.0
16,26.0
17,27.0
18,26.0
19,29.0
20,26.0
21,26.0
22,26.0
23,26.0
24,29.0
25,29.0
26,27.0
27,27.0
28,26.0
29,26.0
30,26.0
31,27.0
32,27.0
33,26.0
34,27.0
35,29.0
36,27.0
37,27.0
38,26.0
39,29.0
40,29.0
41,26.0
42,27.0
43,26.0
44,27.0
45,27.0
46,26.0
47,26.0
48,26.0
49,29.0
50,26.0
51,27.0
52,26.0
53,26.0
54,26.0
55,26.0
56,26.0
57,26.0
58,27.0
59,26.0
60,27.0
61,27.0
62,27.0
63,27.0
64,29.0
65,29.0
66,26.0
67,26.0
68,29.0
69,26.0
70,27.0
71,27.0
72,26.0
73,26.0
74,26.0
75,27.0
76,27.0
77,29.0
78,27.0
79,29.0
80,26.0
81,29.0
82,26.0
83,27.0
84,29.0
85,27.0
86,27.0
87,27.0
88,26.0
89,26.0
90,29.0
91,26.0
92,26.0
93,26.0
94,29.0
95,29.0
96,29.0
97,26.0
98,26.0
99,26.0
100,29.0
101,26.0
102,29.0
103,26.0
104,26.0
105,27.0
106,26.0
107,27.0
108,27.0
109,26.0
110,26.0
111,26.0
112,27.0
113,29.0
114,27.0
115,27.0
116,27.0
117,27.0
118,26.0
119,27.0
120,26.0
121,29.0
122,27.0
123,27.0
124,26.0
125,26.0
126,29.0
127,26.0
128,27.0
129,27.0
130,26.0
131,26.0
132,29.0
133,26.0
134,26.0
135,26.0
136,29.0
137,26.0
138,29.0
139,26.0
140,29.0
141,27.0
142,27.0
143,27.0
144,26.0
145,26.0
146,27.0
147,26.0
148,27.0
149,27.0
150,27.0
151,26.0
152,26.0
153,26.0
154,26.0
155,27.0
156,27.0
157,26.0
158,26.0
159,26.0
160,27.0
161,26.0
162,29.0
163,26.0
164,26.0
165,26.0
166,26.0
167,27.0
168,26.0
169,26.0
170,26.0
171,26.0
172,29.0
173,26.0
174,26.0
175,29.0
176,27.0
177,26.0
178,29.0
179,26.0
180,27.0
181,26.0
182,26.0
183,26.0
184,26.0
185,27.0
186,27.0
187,26.0
188,27.0
189,27.0
190,26.0
191,27.0
192,27.0
193,29.0
194,26.0
195,27.0
196,27.0
197,27.0
198,27.0
199,27.0
200,27.0
201,29.0
202,26.0
203,27.0
204,29.0
205,26.0
206,26.0
207,26.0
208,26.0
209,29.0
210,26.0
211,27.0
212,26.0
213,27.0
214,27.0
215,26.0
216,29.0
217,27.0
218,26.0
219,26.0
220,26.0
221,26.0
222,29.0
223,29.0
224,27.0
225,27.0
226,26.0
227,29.0
228,27.0
229,27.0
230,27.0
231,27.0
232,27.0
233,29.0
234,29.0
235,29.0
236,26.0
237,27.0
238,26.0
239,26.0
240,26.0
241,27.0
242,26.0
243,27.0
244,29.0
245,29.0
246,29.0
247,26.0
248,26.0
249,26.0
250,26.0
251,26.0
252,27.0
253,27.0
254,26.0
255,29.0
256,27.0
257,26.0
258,27.0
259,26.0
260,29.0
261,29.0
262,26.0
263,27.0
264,29.0
265,27.0
266,26.0
267,26.0
268,27.0
269,29.0
270,26.0
271,29.0
272,27.0
273,27.0
274,26.0
275,27.0
276,27.0
277,26.0
278,29.0
279,29.0
280,26.0
281,29.0
282,27.0
283,29.0
284,26.0
285,26.0
286,26.0
287,29.0
288,27.0
289,29.0
290,26.0
291,26.0
292,26.0
293,27.0
294,26.0
295,26.0
296,27.0
297,26.0
298,27.0
299,26.0
300,27.0
301,27.0
302,29.0
303,29.0
304,29.0
305,27.0
306,26.0
307,27.0
308,27.0
309,29.0
310,26.0
311,27.0
312,26.0
313,27.0
314,29.0
315,29.0
316,26.0
317,26.0
318,29.0
319,26.0
320,26.0
321,27.0
322,26.0
323,27.0
324,27.0
325,26.0
326,26.0
327,26.0
328,26.0
329,27.0
330,29.0
331,26.0
332,26.0
333,26.0
334,29.0
335,29.0
336,26.0
337,26.0
338,27.0
339,29.0
340,27.0
341,26.0
342,27.0
343,27.0
344,27.0
345,27.0
346,26.0
347,27.0
348,29.0
349,27.0
350,27.0
351,29.0
352,26.0
353,26.0
354,29.0
355,26.0
356,26.0
357,27.0
358,29.0
359,26.0
360,26.0
361,26.0
362,26.0
363,29.0
364,29.0
365,26.0
366,27.0
367,26.0
368,26.0
369,27.0
370,26.0
371,26.0
372,27.0
373,26.0
374,29.0
375,26.0
376,29.0
377,26.0
378,27.0
379,26.0
380,26.0
381,26.0
382,27.0
383,26.0
384,26.0
385,27.0
386,27.0
387,29.0
388,29.0
389,26.0
390,26.0
391,27.0
392,26.0
393,27.0
394,27.0
395,26.0
396,26.0
397,29.0
398,26.0
399,27.0
400,26.0
401,29.0
402,27.0
403,26.0
404,26.0
405,29.0
406,26.0
407,29.0
408,26.0
409,27.0
410,26.0
411,27.0
412,26.0
413,29.0
414,29.0
415,26.0
416,26.0
417,26.0
418,26.0
419,27.0
420,26.0
421,27.0
422,26.0
423,29.0
424,27.0
425,26.0
426,26.0
427,26.0
428,26.0
429,27.0
430,27.0
431,27.0
432,26.0
433,27.0
434,29.0
435,26.0
436,29.0
437,27.0
438,26.0
439,26.0
440,27.0
441,27.0
442,26.0
443,27.0
444,27.0
445,26.0
446,27.0
447,27.0
448,26.0
449,26.0
450,29.0
451,27.0
452,27.0
453,29.0
454,26.0
455,27.0
456,27.0
457,26.0
458,29.0
459,26.0
460,26.0
461,26.0
462,27.0
463,26.0
464,27.0
465,29.0
466,27.0
467,26.0
468,29.0
469,26.0
470,27.0
471,26.0
472,26.0
473,26.0
474,26.0
475,27.0
476,26.0
477,29.0
478,29.0
479,26.0
480,29.0
481,27.0
482,29.0
483,26.0
484,29.0
485,27.0
486,27.0
487,27.0
488,26.0
489,26.0
490,29.0
491,29.0
492,27.0
493,26.0
494,26.0
495,26.0
496,27.0
497,29.0
498,26.0
499,26.0
500,26.0
501,27.0
502,26.0
503,27.0
504,27.0
505,26.0
506,26.0
507,27.0
508,26.0
509,29.0
510,26.0
511,29.0
512,26.0
513,26.0
514,27.0
515,27.0
516,27.0
517,26.0
518,26.0
519,29.0
520,27.0
521,29.0
522,26.0
523,26.0
524,26.0
525,29.0
526,26.0
527,27.0
528,27.0
529,27.0
530,29.0
531,26.0
532,26.0
533,26.0
534,27.0
535,26.0
536,26.0
537,27.0
538,29.0
539,26.0
540,29.0
541,26.0
542,26.0
543,26.0
544,27.0
545,26.0
546,26.0
547,29.0
548,29.0
549,27.0
550,26.0
551,26.0
552,27.0
553,29.0
554,26.0
555,29.0
556,26.0
557,27.0
558,29.0
559,27.0
560,27.0
561,26.0
562,26.0
563,26.0
564,29.0
565,27.0
566,26.0
567,27.0
568,26.0
569,29.0
570,27.0
571,29.0
572,26.0
573,26.0
574,29.0
575,26.0
576,27.0
577,27.0
578,27.0
579,29.0
580,27.0
581,26.0
582,29.0
583,29.0
584,26.0
585,26.0
586,27.0
587,27.0
588,27.0
589,29.0
590,27.0
591,27.0
592,26.0
593,26.0
594,27.0
595,27.0
596,27.0
597,29.0
598,26.0
599,26.0
600,26.0
601,26.0
602,29.0
603,26.0
604,26.0
605,29.0
606,29.0
607,27.0
608,29.0
609,29.0
610,26.0
611,26.0
612,29.0
613,29.0
614,26.0
615,27.0
616,26.0
617,29.0
618,26.0
619,27.0
620,27.0
621,26.0
622,26.0
623,26.0
624,29.0
625,27.0
626,26.0
627,27.0
628,29.0
629,26.0
630,26.0
631,26.0
632,26.0
633,27.0
634,26.0
635,26.0
636,27.0
637,26.0
638,27.0
639,26.0
640,27.0
641,29.0
642,26.0
643,26.0
644,26.0
645,26.0
646,26.0
647,26.0
648,27.0
649,27.0
650,27.0
651,27.0
652,29.0
653,26.0
654,26.0
655,29.0
656,26.0
657,29.0
658,26.0
659,26.0
660,27.0
661,26.0
662,26.0
663,27.0
664,26.0
665,29.0
666,27.0
667,26.0
668,26.0
669,26.0
670,26.0
671,27.0
672,26.0
673,27.0
674,29.0
675,26.0
676,27.0
677,26.0
678,29.0
679,26.0
680,26.0
681,27.0
682,27.0
683,26.0
684,27.0
685,27.0
686,29.0
687,27.0
688,26.0
689,26.0
690,27.0
691,26.0
692,29.0
693,26.0
694,26.0
695,26.0
696,26.0
697,27.0
698,26.0
699,27.0
700,26.0
701,26.0
702,27.0
703,26.0
704,29.0
705,26.0
706,26.0
707,27.0
708,26.0
709,26.0
710,26.0
711,26.0
712,29.0
713,26.0
714,29.0
715,27.0
716,26.0
717,26.0
718,26.0
719,26.0
720,26.0
721,27.0
722,26.0
723,26.0
724,26.0
725,27.0
726,29.0
727,27.0
728,26.0
729,26.0
730,27.0
731,27.0
732,27.0
733,27.0
734,27.0
735,26.0
736,27.0
737,27.0
738,26.0
739,29.0
740,29.0
741,29.0
742,27.0
743,27.0
744,26.0
745,26.0
746,27.0
747,26.0
748,27.0
749,26.0
750,26.0
751,26.0
752,26.0
753,26.0
