,station_B_name,bike_id,user_type
0,4th St at Mission Bay Blvd S,5504,Subscriber
1,4th St at Mission Bay Blvd S,2915,Subscriber
2,San Francisco Caltrain Station 2 (Townsend St...,5340,Customer
3,2nd St at Townsend St,746,Subscriber
4,Montgomery St BART Station (Market St at 2nd St),5477,Subscriber
5,2nd St at Folsom St,223,Subscriber
6,Townsend St at 5th St,3624,Subscriber
7,The Embarcadero at Vallejo St,4606,Subscriber
8,Folsom St at 3rd St,4741,Subscriber
9,Berry St at 4th St,530,Customer
10,Bryant St at 2nd St,5276,Subscriber
11,San Francisco Ferry Building (Harry Bridges Pl...,5011,Customer
12,Mission Bay Kids Park,236,Subscriber
13,2nd St at Townsend St,5312,Subscriber
14,Bryant St at 2nd St,4762,Subscriber
15,The Embarcadero at Sansome St,5487,Subscriber
16,S Park St at 3rd St,5458,Subscriber
17,Berry St at King St,4597,Subscriber
18,Spear St at Folsom St,4757,Subscriber
19,Lombard St at Columbus Ave,4658,Subscriber
20,Valencia St at Clinton Park,5325,Subscriber
21,4th St at 16th St,5030,Subscriber
22,S Van Ness Ave at Market St,5022,Subscriber
23,5th St at Brannan St,5334,Subscriber
24,Berry St at King St,5518,Subscriber
25,Market St at 10th St,3225,Subscriber
26,Valencia St at 22nd St,5448,Subscriber
27,Market St at 10th St,5012,Subscriber
28,Spear St at Folsom St,4711,Subscriber
29,San Francisco Caltrain (Townsend St at 4th St),4877,Subscriber
30,Union Square (Powell St at Post St),4934,Subscriber
31,3rd St at Townsend St,4947,Subscriber
32,Folsom St at 15th St,4980,Subscriber
33,Howard St at 2nd St,5383,Subscriber
34,1st St at Folsom St,5001,Subscriber
35,2nd St at Folsom St,5239,Subscriber
36,Market St at 10th St,5477,Subscriber
37,Bryant St at 2nd St,5472,Subscriber
38,Mission Bay Kids Park,5393,Subscriber
39,S Van Ness Ave at Market St,5022,Subscriber
40,Market St at 10th St,5267,Subscriber
41,4th St at Mission Bay Blvd S,4638,Subscriber
42,The Embarcadero at Sansome St,5364,Subscriber
43,11th St at Bryant St,4597,Subscriber
44,San Francisco Ferry Building (Harry Bridges Pl...,5227,Subscriber
45,Steuart St at Market St,2926,Subscriber
46,Berry St at 4th St,4383,Subscriber
47,Howard St at Beale St,1896,Subscriber
48,3rd St at Townsend St,5138,Subscriber
49,Clay St at Battery St,4445,Subscriber
50,5th St at Folsom,3494,Subscriber
51,3rd St at Townsend St,5538,Subscriber
52,Steuart St at Market St,4940,Subscriber
53,Jackson Playground,4343,Subscriber
54,San Francisco Caltrain (Townsend St at 4th St),4603,Subscriber
55,5th St at Brannan St,3284,Subscriber
56,San Francisco Caltrain (Townsend St at 4th St),5296,Subscriber
57,Market St at 10th St,2651,Subscriber
58,Steuart St at Market St,2981,Subscriber
59,15th St at Potrero Ave,2984,Subscriber
60,Montgomery St BART Station (Market St at 2nd St),5549,Customer
61,San Francisco Caltrain (Townsend St at 4th St),5343,Customer
62,22nd St Caltrain Station,5528,Subscriber
63,Steuart St at Market St,2293,Subscriber
64,Bryant St at 2nd St,5497,Subscriber
65,Jackson Playground,4343,Subscriber
66,2nd St at Townsend St,5354,Subscriber
67,4th St at Mission Bay Blvd S,2046,Subscriber
68,Spear St at Folsom St,5548,Subscriber
69,18th St at Noe St,532,Subscriber
70,Clay St at Battery St,2047,Subscriber
71,San Francisco Caltrain (Townsend St at 4th St),5417,Subscriber
72,Commercial St at Montgomery St,1846,Subscriber
73,Clay St at Battery St,1194,Subscriber
74,Civic Center/UN Plaza BART Station (Market St ...,4805,Customer
75,Civic Center/UN Plaza BART Station (Market St ...,4805,Customer
76,Berry St at 4th St,5552,Subscriber
77,Berry St at 4th St,5552,Subscriber
