,user_birth_year,user_gender,tire_sizes,ride_date
0,1988,Male,27,2018-03-04
1,1988,Male,27,2017-03-27
2,1988,Male,26,2019-06-30
3,1969,Male,27,2018-11-16
4,1986,Male,26,2017-11-01
5,1963,Male,27,2018-05-03
6,1995,Male,27,2018-07-18
7,1967,Male,26,2017-09-06
8,1983,Male,27,2017-06-11
9,1991,Male,26,2017-03-12
10,1981,Female,27,2017-04-14
11,1983,Female,26,2017-01-25
12,1978,Female,26,2019-04-19
13,1984,Male,26,2017-07-13
14,1993,Male,26,2017-02-14
15,1987,Male,27,2019-01-06
16,1979,Female,26,2019-06-12
17,1974,Male,26,2019-03-01
18,1988,Male,26,2017-06-15
19,1988,Male,26,2017-07-25
20,1995,Male,26,2019-05-30
21,1995,Female,26,2017-08-19
22,1979,Male,27,2019-07-06
23,1978,Male,26,2019-07-31
24,1990,Male,27,2018-06-18
25,1994,Male,26,2018-03-16
26,1989,Female,27,2019-08-19
27,1969,Male,26,2019-10-18
28,1991,Male,26,2018-01-31
29,1982,Male,26,2019-01-07
30,1971,Male,27,2018-01-09
31,1992,Male,27,2019-03-14
32,1980,Male,27,2018-09-08
33,1982,Male,27,2018-01-22
34,1980,Female,27,2018-02-09
35,1986,Male,27,2018-09-12
36,1989,Male,26,2019-01-18
37,1993,Male,27,2018-05-18
38,1987,Male,26,2018-02-22
39,1979,Male,27,2019-07-06
40,1973,Male,27,2017-05-20
41,1987,Male,26,2017-05-02
42,1995,Female,27,2017-07-02
43,1989,Male,26,2018-04-22
44,1985,Female,27,2020-01-17
45,1972,Male,26,2018-02-24
46,1986,Male,27,2018-10-27
47,1978,Male,27,2018-11-08
48,1987,Female,26,2018-08-31
49,1989,Male,26,2019-02-27
50,1989,Male,26,2017-12-08
51,1975,Female,26,2019-10-01
52,1984,Male,27,2018-10-31
53,1985,Male,27,2017-08-12
54,1990,Male,27,2018-01-21
55,1992,Male,27,2019-08-13
56,1985,Male,27,2018-01-18
57,1993,Male,27,2018-02-01
58,1988,Male,27,2017-04-28
59,1983,Male,27,2018-01-08
60,1982,Male,27,2019-06-02
61,1987,Female,26,2019-07-24
62,1984,Male,26,2018-02-20
63,1988,Male,26,2018-04-29
64,1977,Male,27,2017-07-04
65,1985,Male,27,2017-08-12
66,1982,Male,27,2018-03-04
67,1965,Female,27,2017-12-09
68,1942,Male,27,2018-04-13
69,1993,Male,27,2019-12-06
70,1959,Male,27,2018-12-22
71,1991,Male,27,2017-06-30
72,1989,Male,27,2018-12-10
73,1968,Male,27,2018-11-11
74,1997,Male,27,2018-02-03
75,1997,Male,27,2018-02-03
76,1986,Male,26,2018-09-09
77,2060,Male,26,2018-09-09
