,ride_date
0,2020-01-19
1,2018-10-24
2,2017-12-25
3,2021-11-06
4,2019-01-29
5,2017-03-26
6,2018-01-27
7,2017-06-09
8,2018-12-27
9,2019-08-02
10,2018-09-18
11,2019-03-07
12,2017-08-16
13,2018-03-14
14,2018-11-30
15,2017-11-24
16,2019-05-29
17,2017-01-12
18,2021-11-06
19,2017-09-26
20,2017-06-22
21,2017-04-12
22,2019-03-07
23,2021-11-06
24,2019-02-17
25,2021-11-06
26,2018-03-18
27,2018-10-11
28,2017-05-31
29,2021-11-06
30,2017-06-23
31,2019-04-23
32,2019-05-15
33,2017-11-23
34,2021-11-06
35,2018-06-13
36,2019-02-19
37,2017-03-11
38,2018-05-17
39,2018-05-30
40,2017-09-12
41,2019-10-29
42,2017-05-18
43,2020-02-14
44,2019-03-15
45,2019-09-11
46,2021-11-06
47,2017-11-05
48,2019-10-06
49,2018-05-02
50,2018-01-12
51,2020-02-01
52,2019-12-29
53,2021-11-06
54,2019-07-28
55,2017-06-20
56,2021-11-06
57,2021-11-06
58,2021-11-06
59,2019-03-30
60,2018-06-01
61,2019-02-03
62,2019-01-05
63,2017-03-14
64,2017-02-04
65,2019-07-02
66,2019-02-20
67,2018-01-08
68,2018-05-18
69,2017-10-30
70,2018-04-28
71,2018-05-15
72,2021-11-06
73,2020-01-29
74,2021-11-06
75,2017-07-20
76,2017-10-26
77,2017-02-02
78,2020-02-07
79,2017-07-04
80,2017-11-17
81,2020-01-07
82,2018-04-22
83,2019-03-16
84,2021-11-06
85,2018-01-20
86,2017-08-29
87,2019-01-18
88,2017-07-09
89,2017-11-20
90,2018-06-30
91,2019-12-29
92,2021-11-06
93,2019-12-22
94,2019-04-23
95,2019-10-09
96,2019-11-30
97,2017-04-10
98,2021-11-06
99,2021-11-06
100,2019-07-30
101,2018-04-10
102,2021-11-06
103,2017-12-26
104,2021-11-06
105,2021-11-06
106,2017-11-03
107,2021-11-06
108,2021-11-06
109,2021-11-06
110,2017-11-20
111,2021-11-06
112,2017-06-29
113,2021-11-06
114,2018-01-16
115,2021-11-06
116,2019-08-26
117,2017-12-14
118,2018-05-26
119,2018-10-25
120,2017-03-05
121,2021-11-06
122,2019-08-10
123,2017-07-24
124,2017-08-18
125,2017-06-04
126,2019-10-14
127,2020-01-27
128,2019-12-27
129,2018-09-06
130,2019-06-29
131,2021-11-06
132,2018-05-27
133,2018-01-19
134,2019-11-04
135,2019-09-10
136,2018-02-26
137,2018-10-27
138,2019-03-29
139,2019-05-30
140,2019-08-24
141,2020-01-23
142,2021-11-06
143,2019-10-11
144,2017-06-22
145,2021-11-06
146,2019-02-09
147,2019-01-07
148,2018-10-14
149,2018-02-19
150,2019-03-25
151,2021-11-06
152,2021-11-06
153,2021-11-06
154,2021-11-06
155,2019-02-16
156,2017-05-31
157,2017-02-04
158,2018-05-07
159,2018-06-07
160,2018-01-13
161,2019-08-20
162,2018-11-21
163,2017-07-20
164,2018-03-27
165,2019-09-05
166,2021-11-06
167,2018-08-30
168,2020-01-08
169,2018-10-13
170,2019-11-28
171,2020-01-31
172,2021-11-06
173,2021-11-06
174,2017-03-11
175,2017-06-16
176,2021-11-06
177,2019-02-05
178,2019-02-09
179,2018-05-08
180,2018-04-03
181,2017-11-07
182,2018-05-08
183,2017-07-02
184,2019-03-13
185,2018-07-11
186,2017-10-05
187,2017-05-21
188,2021-11-06
189,2018-04-22
190,2017-07-04
191,2017-05-07
192,2019-02-21
193,2019-01-14
194,2021-11-06
195,2017-04-17
196,2019-09-14
197,2017-12-22
198,2019-07-31
199,2019-09-04
200,2018-08-12
201,2019-02-21
202,2021-11-06
203,2021-11-06
204,2017-03-25
205,2017-09-02
206,2017-09-29
207,2019-10-15
208,2019-11-18
209,2018-02-02
210,2018-12-25
211,2021-11-06
212,2018-07-19
213,2018-11-13
214,2021-11-06
215,2019-05-24
216,2020-01-10
217,2018-02-14
218,2019-09-25
219,2021-11-06
220,2018-08-06
221,2017-06-16
222,2019-11-11
223,2018-07-28
224,2019-01-15
225,2018-06-03
226,2017-10-11
227,2017-02-20
228,2021-11-06
229,2021-11-06
230,2017-04-10
231,2018-04-19
232,2019-09-03
233,2018-09-17
234,2018-03-08
235,2018-02-28
236,2017-08-14
237,2017-01-27
238,2019-08-06
239,2019-07-21
240,2019-09-19
241,2019-06-18
242,2018-06-08
243,2020-01-13
244,2018-02-23
245,2021-11-06
246,2019-07-11
247,2017-12-04
248,2018-07-02
249,2019-10-07
250,2017-03-22
251,2018-11-22
252,2018-01-22
253,2017-03-03
254,2020-01-15
255,2020-02-09
256,2018-04-17
257,2018-07-13
258,2019-01-07
259,2019-12-10
260,2019-08-30
261,2021-11-06
262,2020-02-14
263,2019-12-09
264,2020-01-17
265,2021-11-06
266,2019-04-18
267,2019-05-21
268,2021-11-06
269,2019-12-22
270,2018-05-13
271,2019-08-21
272,2019-12-16
273,2017-04-04
274,2020-02-10
275,2018-05-26
276,2018-04-27
277,2018-09-19
278,2018-04-24
279,2017-02-14
280,2019-03-05
281,2018-05-18
282,2018-07-13
283,2019-04-13
284,2021-11-06
285,2019-03-01
286,2018-01-19
287,2018-04-06
288,2021-11-06
289,2021-11-06
290,2017-11-10
291,2021-11-06
292,2017-03-07
293,2017-11-11
294,2020-01-26
295,2018-10-11
296,2018-10-30
297,2017-11-27
298,2017-02-10
299,2018-06-23
300,2019-04-18
301,2021-11-06
302,2021-11-06
303,2021-11-06
304,2018-07-02
305,2018-02-25
306,2019-08-27
307,2017-01-18
308,2021-11-06
309,2019-02-05
310,2017-04-06
311,2019-01-13
312,2017-10-12
313,2021-11-06
314,2019-12-10
315,2021-11-06
316,2017-01-10
317,2018-05-27
318,2019-06-16
319,2018-08-29
320,2018-12-02
321,2017-03-06
322,2018-08-15
323,2021-11-06
324,2018-02-08
325,2018-01-29
326,2018-10-16
327,2019-05-23
328,2019-04-16
329,2019-10-20
330,2018-09-07
331,2021-11-06
332,2019-07-09
333,2019-05-11
334,2021-11-06
335,2021-11-06
336,2021-11-06
337,2018-05-09
338,2019-02-04
339,2021-11-06
340,2021-11-06
341,2017-05-10
342,2017-11-20
343,2018-02-09
344,2021-11-06
345,2019-01-18
346,2021-11-06
347,2018-09-24
348,2018-07-19
349,2017-11-14
350,2021-11-06
351,2017-02-11
352,2019-11-21
353,2019-03-19
354,2021-11-06
355,2019-05-27
356,2021-11-06
357,2021-11-06
358,2021-11-06
359,2019-04-10
360,2018-04-16
361,2017-05-02
362,2018-06-18
363,2018-12-03
364,2021-11-06
365,2018-04-30
366,2020-01-29
367,2018-04-08
368,2019-01-01
369,2021-11-06
370,2019-03-29
371,2017-04-16
372,2021-11-06
373,2018-04-04
374,2018-03-31
375,2021-11-06
376,2020-01-04
377,2021-11-06
378,2017-08-16
379,2018-03-22
380,2017-04-30
381,2018-03-02
382,2018-01-26
383,2019-07-17
384,2018-05-30
385,2021-11-06
386,2018-12-10
387,2017-11-06
