''	survey_response
0	It was terrible
1	I didn't like the flight
2	I hate this
3	Not a fan
4	Bad
5	Horrible
6	Very poor
8	Unacceptable flight
9	It was awful
10	My fllight was really unpleasant
11	I am not a fan
12	I had a bad flight
13	It was very bad
14	it was horrible
15	Terrible
16	It was substandard
17	I did not enjoy the flight
18	The airport personnell forgot to alert us of d...
19	The food in the airport was really really expe...
20	One of the other travelers was really loud and...
21	I don't remember answering the survey with the...
22	The airport personnel kept ignoring my request...
23	The chair I sat in was extremely uncomfortable...
24	I wish you were more like other airports, the ...
25	I was really unsatisfied with the wait times b...
27	The flight was okay, but I didn't really like ...
28	We were really slowed down by security measure...
29	There was a spill on the aisle next to the bat...
30	I felt very unsatisfied by how long the flight...
