,x_coordinate,y_coordinate,x_scaled,y_scaled
0,39,3,2.376199,1.1522370000000002
1,42,7,2.558984,2.688554
2,58,3,3.533835,1.1522370000000002
3,43,3,2.619912,1.1522370000000002
4,13,6,0.7920659999999999,2.304475
5,32,5,1.949702,1.920396
6,60,3,3.6556910000000005,1.1522370000000002
7,13,4,0.7920659999999999,1.536317
8,26,0,1.584133,0.0
9,27,9,1.645061,3.4567120000000005
10,29,6,1.7669169999999998,2.304475
11,51,3,3.107337,1.1522370000000002
12,14,0,0.8529950000000001,0.0
13,50,7,3.046409,2.688554
14,62,4,3.777547,1.536317
15,59,1,3.594763,0.384079
16,50,3,3.046409,1.1522370000000002
17,62,0,3.777547,0.0
18,65,2,3.960332,0.768158
19,17,5,1.035779,1.920396
20,25,9,1.523205,3.4567120000000005
21,45,5,2.741768,1.920396
22,55,8,3.35105,3.072633
23,48,6,2.924553,2.304475
24,42,3,2.558984,1.1522370000000002
25,58,1,3.533835,0.384079
26,68,4,4.143116,1.536317
27,58,2,3.533835,0.768158
28,37,8,2.254343,3.072633
29,55,7,3.35105,2.688554
