,date,country,gdp,series_code
0,2015-01-01,China,16700619.84,NYGDPMKTPSAKN
1,2015-04-01,China,16993555.30,NYGDPMKTPSAKN
2,2015-07-01,China,17276271.67,NYGDPMKTPSAKN
3,2015-09-01,China,17547024.54,NYGDPMKTPSAKN
4,2016-01-01,China,17820789.83,NYGDPMKTPSAKN
5,2016-04-01,China,18130374.17,NYGDPMKTPSAKN
6,2016-07-01,China,18437591.57,NYGDPMKTPSAKN
7,2016-09-01,China,18740094.61,NYGDPMKTPSAKN
8,2017-01-01,China,19038155.57,NYGDPMKTPSAKN
9,2017-04-01,China,19363712.83,NYGDPMKTPSAKN
10,2017-07-01,China,19682367.54,NYGDPMKTPSAKN
11,2017-09-01,China,19990534.29,NYGDPMKTPSAKN
12,2018-01-01,China,20335619.63,NYGDPMKTPSAKN
13,2018-04-01,China,20658083.64,NYGDPMKTPSAKN
14,2018-07-01,China,20954181.48,NYGDPMKTPSAKN
15,2018-09-01,China,21262117.66,NYGDPMKTPSAKN
16,2015-01-01,US,4319400.00,NYGDPMKTPSAKN
17,2015-04-01,US,4351400.00,NYGDPMKTPSAKN
18,2015-07-01,US,4365800.00,NYGDPMKTPSAKN
19,2015-09-01,US,4367200.00,NYGDPMKTPSAKN
20,2016-01-01,US,4389200.00,NYGDPMKTPSAKN
21,2016-04-01,US,4409900.00,NYGDPMKTPSAKN
22,2016-07-01,US,4433800.00,NYGDPMKTPSAKN
23,2016-09-01,US,4456100.00,NYGDPMKTPSAKN
24,2017-01-01,US,4481300.00,NYGDPMKTPSAKN
25,2017-04-01,US,4505300.00,NYGDPMKTPSAKN
26,2017-07-01,US,4540900.00,NYGDPMKTPSAKN
27,2017-09-01,US,4580600.00,NYGDPMKTPSAKN
28,2018-01-01,US,4609600.00,NYGDPMKTPSAKN
29,2018-04-01,US,4649500.00,NYGDPMKTPSAKN
30,2018-07-01,US,4683200.00,NYGDPMKTPSAKN
31,2018-09-01,US,4695900.00,NYGDPMKTPSAKN
