,Tuition,PCTPELL
0,13435.0,0.7249
1,16023.0,0.3505
2,18661.0,0.3179
3,7400.0,0.7567
4,20575.0,0.2009
5,14176.0,0.4373
6,22183.0,0.1631
7,21562.0,0.1992
8,23970.0,0.5596
9,19685.0,0.4207
10,11194.0,0.5806
11,17139.0,0.4308
12,13152.0,0.5635
13,12733.0,0.5343
14,19649.0,0.4918
15,16885.0,0.4058
16,11438.0,0.4020
17,24565.0,0.5312
18,27065.0,0.1373
19,15204.0,0.4003
20,9657.0,0.3500
21,16988.0,0.6818
22,11551.0,0.4319
23,31468.0,0.4869
24,9942.0,0.2280
25,18218.0,0.2761
26,11337.0,0.3138
27,22180.0,0.4397
28,27570.0,0.2809
29,12218.0,0.4000
30,17003.0,0.4262
31,14546.0,0.2295
32,7959.0,0.7230
33,12152.0,0.4565
34,13063.0,0.4138
35,15829.0,0.4336
36,17276.0,0.2584
37,9937.0,0.5452
38,25503.0,0.2035
39,19234.0,0.2846
40,19251.0,0.2751
41,14723.0,0.4327
42,14731.0,0.4786
43,11328.0,0.4944
44,27183.0,0.3427
45,31113.0,0.3163
46,30628.0,0.5643
47,24760.0,0.1292
48,28487.0,0.2386
49,17661.0,0.1943
50,6679.0,0.6163
51,13390.0,0.4615
52,13365.0,0.4350
53,6112.0,0.5633
54,7454.0,0.4429
55,9163.0,0.5049
56,3227.0,0.6773
57,6797.0,0.5334
58,8710.0,0.5298
59,13262.0,0.3114
60,15052.0,0.4123
61,13648.0,0.4602
62,13328.0,0.3524
63,11779.0,0.5680
64,13913.0,0.3844
65,14767.0,0.3806
66,17222.0,0.4534
67,36367.0,0.1980
68,25548.0,0.2805
69,26521.0,0.5436
70,24298.0,0.1153
71,33496.0,0.2909
72,16117.0,0.5603
73,29865.0,0.1269
74,25533.0,0.4861
75,13148.0,0.5348
76,18192.0,0.4708
77,20606.0,0.4583
78,21904.0,0.5196
79,24540.0,0.3045
80,37606.0,0.1957
81,28725.0,0.3186
82,25097.0,0.5016
83,27949.0,0.5806
84,25723.0,0.4406
85,28630.0,0.2020
86,34829.0,0.4273
87,21651.0,0.5491
88,22661.0,0.4665
89,30108.0,0.3738
90,33314.0,0.1860
91,31473.0,0.2699
92,14908.0,0.1982
93,28859.0,0.2993
94,13475.0,0.3764
95,33865.0,0.1773
96,12768.0,0.4495
97,33655.0,0.2535
98,19700.0,0.4284
99,13183.0,0.4245
100,34425.0,0.1205
101,28126.0,0.1080
102,19739.0,0.5562
103,32721.0,0.2588
104,15710.0,0.3268
105,23052.0,0.4137
106,52073.0,0.3118
107,29174.0,0.2307
108,22199.0,0.3545
109,30787.0,0.2069
110,36005.0,0.3690
111,27920.0,0.4432
112,16212.0,0.5051
113,14519.0,0.2751
114,14649.0,0.3202
115,21806.0,0.1723
116,24929.0,0.1688
117,16777.0,0.2427
118,28839.0,0.1717
119,15836.0,0.3417
120,16507.0,0.3886
121,9521.0,0.3717
122,18946.0,0.3410
123,23604.0,0.2629
124,12701.0,0.3804
125,15530.0,0.2542
126,24122.0,0.4853
127,17291.0,0.3533
128,20023.0,0.2120
129,29722.0,0.2837
130,29933.0,0.2579
131,37101.0,0.4857
132,35653.0,0.1610
133,23483.0,0.3566
134,14462.0,0.2690
135,15240.0,0.3726
136,20910.0,0.1287
137,16099.0,0.4715
138,15992.0,0.1398
139,22675.0,0.5253
140,36480.0,0.1714
141,14764.0,0.5247
142,33637.0,0.1451
143,30580.0,0.1260
144,24729.0,0.4901
145,9118.0,0.6812
146,23635.0,0.5093
147,33586.0,0.1943
148,15850.0,0.5747
149,14221.0,0.3858
150,31097.0,0.2165
151,11820.0,0.8160
152,11679.0,0.6113
153,13427.0,0.3958
154,21426.0,0.3027
155,21025.0,0.3387
156,16376.0,0.3769
157,28474.0,0.2167
158,12427.0,0.5526
159,24482.0,0.2878
160,15664.0,0.3182
161,12022.0,0.3029
162,32746.0,0.1611
163,13621.0,0.3141
164,23765.0,0.4212
165,21934.0,0.3370
166,11232.0,0.4070
167,25116.0,0.4696
168,21534.0,0.4095
169,27580.0,0.2415
170,13286.0,0.6346
171,17952.0,0.6463
172,15393.0,0.6879
173,23029.0,0.4294
174,11184.0,0.4165
175,8367.0,0.4586
176,12439.0,0.7313
177,19265.0,0.4587
178,15977.0,0.5867
179,32947.0,0.7180
180,21181.0,0.2451
181,25218.0,0.5031
182,12572.0,0.5096
183,11422.0,0.4702
184,23742.0,0.2733
185,15219.0,0.4877
186,25941.0,0.2032
187,14782.0,0.7577
188,11574.0,0.1699
189,12644.0,0.4622
190,17283.0,0.2030
191,16963.0,0.3796
192,14290.0,0.5268
193,12023.0,0.2292
194,11187.0,0.5503
195,20328.0,0.4409
196,20423.0,0.3475
197,29796.0,0.4931
198,19936.0,0.3940
199,18387.0,0.7993
200,16424.0,0.4737
201,20310.0,0.4303
202,36902.0,0.2471
203,11009.0,0.7450
204,18864.0,0.4743
205,34232.0,0.4815
206,18783.0,0.4859
207,17464.0,0.2183
208,13990.0,0.4708
209,15365.0,0.4941
210,16074.0,0.3900
211,20543.0,0.4360
212,11029.0,0.4839
213,13441.0,0.3105
