_c0
025865917 n023521131_781
022684404 n029380957_9768
021267273 n022910760_9023
"02110627 n02110627_12938 200 300 affenpinscher,0,9,173,298"
"02093754 n02093754_1148 500 378 Border_terrier,73,127,341,335"
"%s %s 800 600 Shetland_sheepdog,124,87,576,514"
023200662 n023050402_6068
028666219 n025734155_5660
"02104029 n02104029_63 500 375 kuvasz,0,0,499,327"
"02111500 n02111500_5137 500 375 Great_Pyrenees,124,225,403,374"
"02104365 n02104365_7518 500 333 schipperke,146,29,416,309"
026860034 n022938003_3891
"02105056 n02105056_2834 500 375 groenendael,168,0,469,374"
"02093647 n02093647_541 500 333 Bedlington_terrier,10,12,462,332"
# 339
"02098413 n02098413_1355 500 375 Lhasa,39,1,499,373"
"02093859 n02093859_2309 330 500 Kerry_blue_terrier,17,16,300,482"
"02100583 n02100583_702 500 333 vizsla,112,93,276,236"
023712701 n024465899_4629
# 968
"02109961 n02109961_1017 475 500 Eskimo_dog,43,20,472,461"
029721495 n028942730_7591
"02096177 n02096177_11642 500 375 cairn,71,2,319,302"
02378538 n028214652_9057
022437641 n02908505_1827
"02108000 n02108000_3491 600 450 EntleBucher,307,94,515,448 EntleBucher,101,33,330,448"
"02085782 n02085782_1731 600 449 Japanese_spaniel,23,0,598,435"
026736337 n029212923_7385
025026317 n023887654_4395
02659717 n022116366_5446
"02109047 n02109047_888 410 368 Great_Dane,51,36,355,332"
"02110185 n02110185_2736 259 500 Siberian_husky,7,2,235,498"
"02086646 n02086646_2970 500 400 Blenheim_spaniel,25,66,401,387"
025820484 n026091106_929
021021901 n021735572_4530
"02096177 n02096177_6751 500 375 cairn,82,2,472,369"
# 1321
"02098413 n02098413_1713 500 333 Lhasa,141,40,423,185"
"02097130 n02097130_2135 500 375 giant_schnauzer,227,130,339,367"
021829186 n027594569_6199
"02087046 n02087046_1577 294 357 toy_terrier,35,3,232,345"
"02111129 n02111129_1 283 204 Leonberg,15,17,264,194"
"02091244 n02091244_3157 500 375 Ibizan_hound,86,106,383,361"
026149778 n023531894_1663
"02108000 n02108000_331 500 375 EntleBucher,136,122,315,307"
"02088364 n02088364_10731 500 396 beagle,0,109,248,316 beagle,3,55,468,338"
"02088094 n02088094_4870 333 500 Afghan_hound,66,123,305,446"
"02115641 n02115641_266 500 375 dingo,85,139,487,373"
"02113799 n02113799_2426 500 375 standard_poodle,2,1,408,374"
026829483 n025773154_5950
"02096051 n02096051_6733 500 375 Airedale,112,71,302,371"
"02110806 n02110806_2365 500 333 basenji,141,57,346,253"
"02085936 n02085936_21320 500 375 Maltese_dog,0,40,494,374"
"02111889 n02111889_4740 375 500 Samoyed,107,176,306,406"
"02091244 n02091244_1283 375 500 Ibizan_hound,46,190,266,365"
023731505 n024565918_2088
"02108422 n02108422_5563 292 350 bull_mastiff,46,13,279,349"
"02097130 n02097130_1822 333 500 giant_schnauzer,35,103,285,498"
"02111889 n02111889_6811 500 375 Samoyed,252,39,482,348"
"02105641 n02105641_8180 500 333 Old_English_sheepdog,104,97,324,329"
"02100877 n02100877_356 371 219 Irish_setter,30,36,327,216"
"02096051 n02096051_4220 480 439 Airedale,86,87,271,373"
"02086240 n02086240_3738 500 400 Shih-Tzu,87,77,227,312"
"02109047 n02109047_21903 850 638 Great_Dane,241,81,592,601"
027763687 n021900527_6893
"02086079 n02086079_23100 192 275 Pekinese,39,32,161,232"
"02113712 n02113712_3147 500 345 miniature_poodle,213,131,373,273"
023880762 n025466023_5241
"02093859 n02093859_1127 375 500 Kerry_blue_terrier,61,98,318,410"
"02102318 n02102318_3700 500 375 cocker_spaniel,0,0,499,373"
"02085620 n02085620_7 250 188 Chihuahua,71,1,192,180"
"02095889 n02095889_6232 200 231 Sealyham_terrier,39,16,174,215"
02360076 n021540053_3992
"02099601 n02099601_215 500 375 golden_retriever,2,66,498,374"
"02113186 n02113186_3457 285 500 Cardigan,36,31,255,482"
02450005 n027753123_1318
"02111129 n02111129_2974 320 225 Leonberg,59,31,238,224"
"02095314 n02095314_3364 573 507 wire-haired_fox_terrier,29,34,502,496"
024035831 n02632795_2396
021134968 n026344360_7351
"02097047 n02097047_3093 500 334 miniature_schnauzer,0,0,461,305"
"02112350 n02112350_7317 500 375 keeshond,47,30,490,373"
"02105505 n02105505_3913 320 240 komondor,36,104,193,239 komondor,147,31,244,219"
"02099712 n02099712_7497 500 375 Labrador_retriever,236,60,499,374"
"02091831 n02091831_2108 500 334 Saluki,137,44,232,293"
026693041 n025661760_8619
025312449 n024949207_6308
"02099429 n02099429_3033 500 340 curly-coated_retriever,187,132,291,226"
"02085936 n02085936_7253 500 375 Maltese_dog,175,113,448,292"
"02111277 n02111277_1177 500 375 Newfoundland,138,90,423,338"
028001191 n021982755_4271
"02115913 n02115913_359 640 426 dhole,215,85,422,401"
"02088364 n02088364_4070 500 375 beagle,125,69,380,341"
