latitude,longitude
45.005846,-92.872856
44.994875,-92.879271
44.992248,-92.932756
44.994800,-92.877973
44.990873,-92.933799
45.003146,-92.878103
44.953597,-92.905896
44.953597,-92.905896
44.953597,-92.905896
44.953597,-92.905896
44.953597,-92.905896
44.953597,-92.905896
44.953597,-92.905896
44.953597,-92.905896
45.012261,-92.919574
44.953597,-92.905896
44.953597,-92.905896
44.953597,-92.905896
44.953597,-92.905896
44.953597,-92.905896
44.952911,-92.907419
44.952821,-92.907548
45.002601,-92.926430
45.000892,-92.898217
44.988389,-92.930863
44.952959,-92.907930
45.011798,-92.930540
45.005747,-92.937611
44.990023,-92.873006
44.953058,-92.907525
44.952773,-92.907524
44.988939,-92.870641
44.990199,-92.930269
44.952871,-92.907930
44.952960,-92.907107
45.032933,-92.945868
44.988716,-92.934017
45.009319,-92.925969
45.010488,-92.943785
45.008273,-92.937703
45.024322,-92.952125
45.026920,-92.858045
44.960521,-92.926004
45.010492,-92.867622
44.995543,-92.883186
44.995543,-92.883186
45.026447,-92.859963
44.964539,-92.880544
44.995543,-92.883186
45.025838,-92.859421
44.966125,-92.878318
44.995543,-92.883186
45.021150,-92.923975
45.030827,-92.934496
44.960282,-92.926115
44.960943,-92.931569
NaN,NaN
44.999140,-92.926666
44.995543,-92.883186
44.952339,-92.913426
45.013176,-92.936858
44.995543,-92.883186
44.995543,-92.883186
44.995543,-92.883186
44.954317,-92.921669
NaN,NaN
44.951964,-92.922870
44.960940,-92.931378
44.954994,-92.911703
45.034103,-92.942489
44.989753,-92.927525
45.011674,-92.928605
44.954056,-92.921744
44.995543,-92.883186
44.961873,-92.931093
44.954135,-92.920746
44.952244,-92.922155
44.961411,-92.931973
44.954135,-92.920746
44.958785,-92.903942
44.995543,-92.883186
44.952255,-92.921599
44.954473,-92.922615
45.017522,-92.863665
45.004103,-92.940602
45.010813,-92.866224
45.000082,-92.928485
44.954005,-92.910791
NaN,NaN
44.960997,-92.930781
45.008334,-92.878950
44.961002,-92.930571
44.960909,-92.920580
45.032083,-92.930860
44.960630,-92.924529
45.008524,-92.863594
45.002680,-92.928701
44.952255,-92.921599
45.030966,-92.944021
45.025957,-92.859131
44.958494,-92.903962
44.995543,-92.883186
44.995543,-92.883186
45.031603,-92.942844
44.992383,-92.875767
44.952605,-92.935738
44.961994,-92.931363
44.995543,-92.883186
NaN,NaN
45.012497,-92.870171
44.958277,-92.903963
44.961203,-92.932016
45.017539,-92.864066
45.007088,-92.881173
45.011148,-92.901219
44.962140,-92.931762
45.030427,-92.907700
45.016242,-92.862531
45.007562,-92.904380
44.952233,-92.921761
44.957662,-92.908781
44.960960,-92.924856
45.008524,-92.863594
45.008768,-92.880126
44.997066,-92.871005
44.954604,-92.921566
45.007515,-92.881655
45.011057,-92.890933
45.008214,-92.881273
NaN,NaN
44.955479,-92.910224
NaN,NaN
NaN,NaN
45.008410,-92.876756
45.007515,-92.881655
45.008486,-92.878735
45.017698,-92.865108
45.007515,-92.881655
NaN,NaN
44.971332,-92.920378
45.009956,-92.882154
45.011499,-92.896031
45.029651,-92.866762
44.960909,-92.920580
45.010363,-92.878848
45.013803,-92.908877
44.960909,-92.920580
45.030679,-92.865789
44.990406,-92.914004
45.014470,-92.934993
45.014614,-92.946525
44.970129,-92.879629
45.013414,-92.905059
45.030494,-92.909329
44.965419,-92.909897
NaN,NaN
44.930913,-92.995872
44.992371,-93.069992
44.993291,-93.003537
NaN,NaN
44.993258,-93.003537
44.930310,-93.000570
44.928456,-93.000140
44.992742,-93.069344
44.928585,-93.000137
44.998553,-93.007149
44.992712,-93.069795
44.930101,-93.002033
44.932103,-92.998006
44.930949,-92.998192
44.993554,-93.003300
44.927370,-93.000003
NaN,NaN
44.993232,-93.069466
44.928071,-93.002137
45.010710,-93.038352
44.922252,-93.001188
44.979313,-92.989408
44.928848,-93.003435
44.926695,-93.002325
44.928705,-93.003588
45.004937,-93.087766
44.932516,-93.002561
44.921810,-93.000037
45.006280,-93.046783
44.903917,-93.000018
44.926695,-93.002358
45.013858,-93.033578
44.932516,-93.002561
45.001724,-93.083798
44.932516,-93.002561
44.975688,-92.994342
44.932516,-93.002561
45.036334,-93.032915
45.036222,-93.031645
45.036247,-93.032080
45.025973,-93.022366
44.922215,-93.000008
44.975671,-92.993821
44.930949,-92.998192
44.922915,-93.000505
44.927750,-93.002873
44.921242,-93.000099
45.036236,-93.032472
44.926695,-93.002374
44.999455,-93.081517
44.997952,-93.040701
44.994868,-93.068388
44.994292,-93.070842
44.995365,-93.068383
44.997956,-93.090817
44.993381,-93.068422
44.993381,-93.068422
44.993381,-93.068422
45.008471,-93.038900
44.976256,-92.994062
44.998896,-93.039426
44.921095,-93.001961
44.921908,-93.001138
45.033436,-93.031566
NaN,NaN
45.007107,-93.080119
45.003557,-93.041285
44.922461,-92.999949
44.932103,-92.998006
45.014732,-93.033829
44.995902,-93.043014
44.998150,-93.027704
45.003000,-93.077377
45.024604,-93.015805
44.980349,-92.987852
44.914276,-92.986073
44.912916,-92.986818
45.026718,-93.019965
44.998054,-93.069577
44.998589,-93.035580
44.914111,-92.986379
44.914118,-92.985993
44.993259,-93.066264
44.930949,-92.998192
44.971847,-92.993193
44.997731,-93.037133
44.998794,-93.013905
44.993459,-93.050717
44.999015,-93.035581
44.994378,-93.066268
44.998349,-93.091669
45.000663,-93.033667
44.995346,-93.046266
44.992236,-93.026892
44.997210,-93.038151
45.009389,-93.029486
44.922552,-93.002442
44.964620,-92.996825
45.032329,-93.032365
45.032821,-93.030967
44.932516,-93.002561
44.993613,-93.068961
45.032329,-93.032365
44.999303,-93.092588
45.027555,-93.014479
44.994588,-93.067965
45.032203,-93.033474
44.921287,-93.000760
44.993322,-93.094972
45.022694,-93.045675
45.031845,-93.032976
44.930546,-92.992094
44.997017,-93.092184
44.998794,-93.013905
45.018891,-93.058222
44.997762,-93.067186
45.002133,-93.069403
44.996675,-93.027708
45.034616,-93.048146
45.031838,-93.031274
45.031847,-93.033661
44.997531,-93.094392
45.031973,-93.048000
44.965722,-92.998567
45.032331,-93.032864
45.006902,-93.048389
45.031475,-93.048079
44.962961,-92.987150
45.007637,-93.048919
44.994314,-93.027714
44.999888,-93.096449
44.994737,-93.011019
45.016675,-93.037571
44.914536,-92.985893
45.032261,-93.034208
45.033697,-93.032336
45.033580,-93.033309
45.033591,-93.032909
45.032862,-93.031867
45.034616,-93.048146
45.033436,-93.031566
45.033657,-93.034342
45.006674,-93.017915
44.998194,-93.009801
45.034616,-93.048146
45.032858,-93.031379
44.994574,-93.096368
45.019510,-93.026822
44.994296,-93.093929
45.001746,-93.029861
45.019032,-93.047422
44.969240,-92.989451
45.004007,-93.049072
44.964639,-92.999590
44.990170,-93.012665
44.976889,-92.992199
44.996564,-93.081172
44.956495,-92.989217
44.994497,-93.095547
44.943123,-92.990624
44.995315,-93.040805
44.968895,-92.985889
45.021339,-93.048717
45.019295,-93.026412
45.008097,-93.080128
45.002717,-93.049563
45.020468,-93.027954
44.996441,-93.095356
45.032862,-93.031867
44.947716,-92.991587
45.032314,-93.048466
45.003712,-93.048510
44.971969,-92.989580
44.905422,-93.001149
45.019034,-93.026817
44.994727,-93.011220
44.995132,-93.048135
44.997490,-93.009434
44.997473,-93.095362
44.994060,-93.093923
44.976846,-92.998921
44.995890,-93.048560
44.997080,-93.039428
45.034616,-93.048146
44.914390,-92.986817
44.995416,-93.044064
45.001152,-93.094689
44.941955,-92.991880
44.995441,-93.094781
44.969791,-92.992056
44.944351,-92.986834
44.995368,-93.027711
45.013035,-93.038678
44.995454,-93.032801
45.034843,-93.029508
44.914324,-92.986843
44.998339,-93.091906
45.026704,-93.030473
44.961601,-92.989006
45.034616,-93.048146
NaN,NaN
45.035314,-93.029499
44.975997,-92.993191
45.001625,-93.092996
44.943963,-92.986724
45.009680,-93.022693
45.034616,-93.048146
44.914535,-92.985990
44.994103,-93.076112
45.000451,-93.097084
44.979924,-93.000291
45.005591,-93.016396
44.992400,-93.016842
45.035271,-92.999363
45.007577,-93.029216
44.942081,-92.988024
44.995200,-93.048135
45.022694,-93.045675
44.997475,-93.027706
45.008565,-93.037805
45.032326,-93.031375
45.019803,-93.026593
45.016637,-93.056569
44.954011,-92.973421
44.978468,-92.988396
45.008313,-93.077367
44.997862,-93.040701
44.994097,-93.015569
45.008514,-93.046880
45.010709,-93.037704
44.914534,-92.986279
45.022088,-93.045776
44.957184,-92.989334
44.972266,-92.985868
44.913201,-92.986824
44.995275,-93.018929
44.993083,-93.043253
45.028341,-93.008140
45.004804,-93.087531
45.003938,-93.050304
44.979560,-92.988432
45.009357,-93.082078
44.972192,-92.997070
44.998553,-93.007149
44.998066,-93.093257
45.032115,-92.994833
45.027904,-93.011996
44.999436,-93.080886
44.995168,-93.015575
45.020108,-93.060577
44.989708,-92.999669
45.028369,-93.007799
45.006677,-93.052552
44.943885,-92.993515
45.031238,-93.006166
44.972771,-92.996523
45.028368,-93.002833
45.005343,-93.039255
44.943502,-92.988001
45.018280,-93.026570
44.979607,-92.986634
45.003789,-93.083733
44.993835,-93.101588
45.003422,-93.045602
44.993860,-93.011457
44.947752,-92.989497
44.926482,-92.993551
44.965627,-92.997323
45.019286,-93.027112
44.947050,-92.992157
45.020382,-93.024978
45.008931,-93.036670
44.994355,-93.011593
45.032728,-93.034754
44.998340,-93.098100
44.926226,-92.991805
44.925717,-92.990436
45.008061,-93.086403
44.998817,-93.094383
45.026704,-93.030473
44.996680,-93.088003
45.029231,-93.006878
45.031504,-93.007137
45.006687,-93.031969
45.020335,-93.047719
45.030735,-92.998380
45.011098,-93.016915
45.018082,-93.042713
44.993340,-93.015565
45.034608,-93.030636
44.975512,-92.988990
44.995952,-93.040467
44.997956,-93.090817
44.997114,-93.098014
44.947934,-92.989497
45.000075,-93.037076
44.993217,-93.084270
44.923374,-92.998712
45.006716,-93.021159
44.992081,-93.084387
45.003659,-93.049820
44.991678,-92.999119
44.925325,-92.989845
44.948518,-93.498107
44.999285,-93.027929
45.007195,-93.046504
45.005061,-93.050235
44.994407,-93.019232
45.016771,-93.058608
45.001105,-93.030657
44.996178,-93.092541
45.028861,-93.002911
45.001652,-93.043233
44.995029,-93.048134
44.911266,-92.991835
44.947020,-92.995566
45.034928,-93.051737
45.031354,-93.010949
45.033109,-92.992786
45.005134,-93.050149
45.003836,-93.071704
45.001159,-93.092710
44.996679,-93.084800
44.996991,-93.096405
44.911080,-92.997579
44.927309,-92.993241
44.992214,-93.009740
44.963891,-92.999649
45.030123,-93.000687
45.035092,-93.001797
45.028820,-93.003791
44.944798,-92.994160
44.947020,-92.996572
44.976871,-92.986054
45.034748,-93.049157
45.002946,-93.035353
44.971300,-92.991469
44.994332,-93.053658
45.004874,-93.078754
45.001331,-93.027618
44.913037,-93.003597
44.917864,-93.002655
45.007035,-93.072498
45.007635,-93.040661
45.031328,-93.010717
44.995733,-93.095563
45.007560,-93.026931
45.002653,-93.035585
45.034823,-93.049031
45.019305,-93.025707
45.007058,-93.044542
44.923356,-92.999415
45.026704,-93.030473
45.009507,-93.082898
45.004799,-93.069905
44.995292,-93.050926
45.028889,-93.003228
44.928400,-92.990545
45.028876,-93.002324
45.030180,-92.999220
45.031078,-92.996857
45.002435,-93.031941
44.995734,-93.093732
44.995639,-93.078233
44.919259,-93.001330
45.029056,-92.999078
44.978302,-93.000983
NaN,NaN
45.023733,-93.062573
45.031716,-92.995062
45.035185,-93.050203
45.007831,-93.043743
45.032954,-93.000262
44.971969,-92.989580
45.029533,-93.007892
45.008963,-93.039581
44.991675,-93.003667
44.963836,-92.998472
45.030104,-93.003913
44.907278,-93.004164
44.910111,-92.999767
44.976324,-92.998736
45.033246,-92.998461
44.918282,-92.996836
45.005992,-93.074358
45.027804,-93.058761
45.002203,-93.066267
45.029160,-93.049172
44.907037,-93.000198
44.993790,-93.009846
45.006041,-93.067778
44.996635,-93.079910
45.005076,-93.071079
45.021293,-93.045985
44.910439,-92.996993
45.004360,-93.067913
45.017815,-93.059152
44.915090,-92.986612
44.995049,-93.081088
44.982715,-93.002270
44.926960,-92.990504
45.018913,-93.065600
44.927048,-92.992753
44.929874,-92.998282
44.930990,-93.002883
44.911487,-92.988983
44.915817,-92.990018
44.928678,-92.999415
44.913220,-92.995234
44.906618,-93.000822
44.911377,-92.993202
44.926660,-92.991561
44.994331,-93.052916
44.907413,-93.001819
45.030652,-93.051357
45.016157,-93.060929
44.919076,-92.997575
45.003768,-93.084518
45.032290,-93.002917
45.008491,-93.042146
44.994774,-93.051913
44.910182,-92.987986
44.905825,-92.994922
44.913125,-92.996583
44.988145,-92.997407
45.016012,-93.056448
45.032293,-93.054024
45.014786,-93.057158
44.996020,-93.066021
44.988059,-92.998026
45.004325,-93.041897
45.016275,-93.056447
44.983598,-93.001245
44.905766,-93.002737
44.995309,-93.002238
44.917015,-92.986033
44.993895,-93.083245
44.914132,-92.998693
44.896443,-92.993828
45.035788,-93.006741
45.035149,-93.003065
45.021157,-93.053513
44.925084,-92.998146
44.996746,-93.087456
44.910558,-92.998693
45.018598,-93.061144
45.027990,-93.060028
45.030793,-93.052580
44.910093,-93.002522
44.987042,-92.995703
44.994172,-93.073946
45.000415,-93.072599
45.009039,-93.070223
44.914269,-92.989959
45.031996,-93.054254
44.915198,-92.986906
44.983764,-93.000478
44.894076,-92.992265
44.905602,-92.998536
45.018743,-93.065246
44.916570,-93.003070
44.917546,-92.986748
44.912795,-92.988455
44.905786,-92.997226
44.947214,-92.998595
44.988372,-93.010264
44.906336,-92.998380
45.030850,-93.050631
44.926193,-93.003148
44.920799,-92.997520
44.918624,-92.997735
44.921575,-92.995723
44.953213,-92.983629
44.953221,-92.983636
45.019042,-92.966790
45.019040,-92.966736
44.970713,-92.955696
44.975198,-92.957223
44.972173,-92.955545
44.968795,-92.951110
44.972222,-92.955515
45.018598,-92.967424
44.968800,-92.950944
44.967976,-92.950434
45.019037,-92.966662
44.966952,-92.953041
45.017837,-92.968133
44.975116,-92.957237
44.969763,-92.977189
44.982743,-92.970244
NaN,NaN
44.977353,-92.962566
44.982700,-92.970245
NaN,NaN
44.979870,-92.967946
44.958544,-92.976119
44.968993,-92.952950
44.968400,-92.950084
44.972864,-92.954834
44.981646,-92.969654
44.967978,-92.950932
45.018308,-92.967700
44.969751,-92.977200
44.969804,-92.952874
44.981694,-92.969816
44.967101,-92.952897
44.970975,-92.955696
44.969445,-92.974598
44.970394,-92.975613
44.970195,-92.976542
45.002577,-92.982482
44.981793,-92.969950
44.984439,-92.970017
44.951524,-92.972616
45.019226,-92.967115
44.969749,-92.977202
44.967876,-92.951989
45.018582,-92.966770
45.020712,-92.967772
44.999704,-92.973395
44.982562,-92.969135
44.968175,-92.976539
44.999648,-92.984281
45.017978,-92.967624
45.002753,-92.981919
45.002873,-92.981605
45.018277,-92.966843
45.001916,-92.974438
45.006648,-92.973344
44.991135,-92.955267
45.006293,-92.972371
45.020067,-92.957689
45.019196,-92.958115
45.005692,-92.969367
45.004487,-92.983267
44.999661,-92.984069
45.002899,-92.981810
45.000557,-92.983300
44.980964,-92.968850
45.005579,-92.974555
44.980662,-92.968419
45.018628,-92.966194
44.999648,-92.984316
45.019411,-92.966305
45.001790,-92.971515
45.018926,-92.965790
45.000749,-92.983514
44.953170,-92.949043
44.984024,-92.973127
44.981839,-92.961147
44.967876,-92.951989
45.005824,-92.977914
45.000535,-92.983243
45.001153,-92.983822
45.018320,-92.957384
45.001786,-92.971516
