latitude,longitude,walkscore,bikescore,transitscore
44.92635,-93.18928,61,72.0,None
44.95810,-93.17982,74,83.0,None
44.93788,-93.12767,84,73.0,None
44.93071,-93.09431,48,60.0,None
44.97547,-93.06790,83,53.0,None
44.98683,-93.03703,37,48.0,None
44.97599,-93.00870,6,48.0,None
45.02617,-92.97972,30,NaN,None
44.89481,-92.93888,4,NaN,None
44.90495,-92.91649,3,NaN,None
44.87344,-92.91489,0,NaN,None
44.98808,-93.14601,63,66.0,None
44.97113,-93.12780,50,69.0,None
44.94951,-93.12778,81,63.0,None
44.92445,-93.09533,53,40.0,None
44.93154,-93.09249,54,56.0,None
44.92940,-93.08834,66,41.0,None
44.95413,-93.05891,56,55.0,None
45.01304,-93.03868,24,NaN,None
44.98997,-93.02857,70,58.0,None
44.98947,-93.02271,70,61.0,None
44.96888,-93.01244,34,55.0,None
44.97731,-93.00558,5,47.0,None
44.93252,-93.00256,19,NaN,None
44.95665,-92.98358,30,NaN,None
44.93340,-92.95342,38,NaN,None
44.92373,-92.94599,23,NaN,None
44.92791,-92.94168,13,NaN,None
44.93360,-92.88678,3,NaN,None
44.97947,-93.19490,71,76.0,None
44.90357,-93.18595,32,64.0,None
44.96779,-93.18131,37,63.0,None
44.92013,-93.13631,58,71.0,None
44.98351,-93.13327,24,51.0,None
44.97294,-93.12875,47,70.0,None
44.97448,-93.09804,53,69.0,None
44.97932,-93.07934,65,49.0,None
44.95025,-93.05866,56,68.0,None
44.94870,-93.03261,45,48.0,None
44.96965,-93.02772,50,42.0,None
44.98996,-93.02190,70,61.0,None
44.98539,-93.01985,54,62.0,None
44.96466,-93.00841,41,63.0,None
44.97839,-93.00689,3,46.0,None
44.94721,-92.99859,15,NaN,None
44.96563,-92.99732,29,NaN,None
44.92572,-92.99044,8,NaN,None
45.00369,-92.98308,9,NaN,None
44.99864,-92.97607,18,NaN,None
44.90747,-92.97180,22,NaN,None
44.89874,-92.95856,5,NaN,None
44.92050,-92.95216,40,NaN,None
44.97440,-92.95117,12,NaN,None
44.86664,-92.95116,0,NaN,None
44.90028,-92.95022,7,NaN,None
44.91491,-92.94936,14,NaN,None
44.96756,-92.94779,27,NaN,None
44.90951,-92.94257,7,NaN,None
44.98975,-92.92752,0,NaN,None
44.95991,-93.17686,78,83.0,None
44.92856,-93.16584,73,68.0,None
44.90388,-93.16279,63,63.0,None
44.95761,-93.15337,70,74.0,None
44.92345,-93.13596,65,64.0,None
